STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,IND,India,M,Monthly,CC,Nominal exchange rates,XDC_USD,National currency per US dollar,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2014-06,,59.7480476014286,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,IND,India,M,Monthly,CC,Nominal exchange rates,XDC_USD,National currency per US dollar,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019-06,,69.4279,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,IND,India,M,Monthly,CC,Nominal exchange rates,XDC_USD,National currency per US dollar,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2014-01,,62.0992391826087,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,IND,India,M,Monthly,CC,Nominal exchange rates,XDC_USD,National currency per US dollar,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025-07,,86.1374217391304,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,IND,India,M,Monthly,CC,Nominal exchange rates,XDC_USD,National currency per US dollar,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2025-08,,87.5746452380952,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,IND,India,M,Monthly,CC,Nominal exchange rates,XDC_USD,National currency per US dollar,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019-03,,69.5151095238095,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,IND,India,M,Monthly,CC,Nominal exchange rates,XDC_USD,National currency per US dollar,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019-04,,69.4237409090909,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,IND,India,M,Monthly,CC,Nominal exchange rates,XDC_USD,National currency per US dollar,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2019-05,,69.7990956521739,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,IND,India,M,Monthly,CC,Nominal exchange rates,XDC_USD,National currency per US dollar,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2007-08,,40.8270006595652,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,IND,India,M,Monthly,CC,Nominal exchange rates,XDC_USD,National currency per US dollar,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2007-09,,40.305649949,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,IND,India,M,Monthly,CC,Nominal exchange rates,XDC_USD,National currency per US dollar,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2007-10,,39.521000073913,,A,Normal value,0,Units,1,One,,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,IND,India,M,Monthly,CC,Nominal exchange rates,XDC_USD,National currency per US dollar,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2007-11,,39.4696818272727,,A,Normal value,0,Units,1,One,,
